Open,High,Low,Close,Adj Close,Volume,Price Change
1.910714,1.912143,1.846429,1.853571,1.853571,5286400,-0.0571429999999999
1.875,1.878571,1.771429,1.871429,1.871429,8534400,-0.0035709999999999
1.851429,1.857143,1.782143,1.782143,1.782143,6339200,-0.0692859999999999
1.782143,1.797143,1.735714,1.782143,1.782143,3676400,0.0
1.792857,1.817857,1.732857,1.736429,1.736429,3084200,-0.0564279999999999
1.742857,1.75,1.633571,1.668571,1.668571,8113000,-0.074286
1.650714,1.667857,1.614286,1.649286,1.649286,7893200,-0.0014279999999999
1.65,1.696429,1.648571,1.677857,1.677857,3339000,0.027857
1.667857,1.780714,1.667143,1.772857,1.772857,6280400,0.1049999999999999
1.780714,1.785714,1.724286,1.776429,1.776429,3010000,-0.0042849999999998
1.777143,1.802857,1.72,1.73,1.73,4537400,-0.0471429999999999
1.737143,1.82,1.730714,1.781429,1.781429,11293800,0.0442859999999998
1.792857,1.802857,1.755,1.785,1.785,5117000,-0.007857
1.792857,1.795,1.742143,1.775,1.775,6335000,-0.017857
1.792143,1.855714,1.76,1.845714,1.845714,8705200,0.053571
1.836429,2.061429,1.836429,1.98,1.98,29337000,0.1435709999999999
2.017857,2.122857,2.016428,2.06,2.06,19553800,0.0421430000000002
2.069286,2.097857,2.035714,2.057143,2.057143,8395800,-0.012143
2.036429,2.047143,1.946429,2.005,2.005,6892200,-0.0314290000000001
1.992857,2.153571,1.957143,2.127857,2.127857,13178200,0.135
2.142857,2.364286,2.137143,2.312143,2.312143,33322800,0.169286
2.355714,2.357143,2.189286,2.26,2.26,13720000,-0.095714
2.249286,2.412857,2.232143,2.380714,2.380714,11130000,0.1314280000000001
2.373571,2.477857,2.314286,2.403571,2.403571,27102600,0.0299999999999998
2.465714,2.531429,2.354286,2.378572,2.378572,23833600,-0.087142
2.371428,2.414286,2.342857,2.392143,2.392143,8240400,0.020715
2.378572,2.521429,2.378572,2.467857,2.467857,20844600,0.0892849999999998
2.444286,2.535714,2.428571,2.48,2.48,16699200,0.035714
2.475714,2.609286,2.473572,2.536429,2.536429,10875200,0.060715
2.521429,2.590714,2.4,2.422143,2.422143,10642800,-0.0992859999999997
2.428571,2.446429,2.290714,2.347857,2.347857,17785600,-0.0807139999999999
2.339286,2.482857,2.321429,2.469286,2.469286,16142000,0.1299999999999999
2.482143,2.581429,2.460714,2.536429,2.536429,17876600,0.0542859999999998
2.646429,2.673571,2.546429,2.564286,2.564286,21684600,-0.0821429999999998
2.585714,2.640714,2.530714,2.553571,2.553571,11204200,-0.032143
2.585714,2.63,2.542857,2.61,2.61,12215000,0.024286
2.607143,2.685714,2.556429,2.642857,2.642857,9605400,0.0357139999999995
2.604286,2.874286,2.595,2.770714,2.770714,22540000,0.1664279999999998
2.796429,2.821429,2.726429,2.795,2.795,10446800,-0.0014289999999999
2.805714,2.809286,2.706429,2.714286,2.714286,7385000,-0.091428
2.706429,2.746428,2.41,2.486428,2.486428,20911800,-0.2200009999999999
2.435714,2.552143,2.380714,2.392143,2.392143,12187000,-0.043571
2.322143,2.417857,2.172857,2.391428,2.391428,40265400,0.0692849999999998
2.413571,2.579286,2.360714,2.397143,2.397143,20711600,-0.0164280000000003
2.385714,2.535,2.385714,2.465,2.465,13876800,0.0792859999999997
2.939286,2.958571,2.824286,2.867857,2.867857,36274000,-0.0714290000000001
2.858572,3.045,2.810714,2.954286,2.954286,18425400,0.095714
2.957857,3.192857,2.925714,3.146429,3.146429,21939400,0.1885719999999997
3.198571,3.206429,3.003572,3.071429,3.071429,22066800,-0.1271419999999996
3.074286,3.228571,3.055,3.076429,3.076429,18671800,0.0021430000000002
3.107143,3.204286,3.092857,3.189286,3.189286,10221400,0.0821429999999998
3.171429,3.346429,3.164286,3.345,3.345,21089600,0.1735710000000003
3.368572,3.460714,3.275,3.372857,3.372857,24176600,0.0042850000000003
3.385,3.428571,3.174286,3.192857,3.192857,16424800,-0.1921429999999997
3.675,3.791429,3.535714,3.723572,3.723572,38456600,0.048572
3.946429,4.0,3.824286,3.892857,3.892857,35361200,-0.0535720000000004
3.792857,3.882143,3.725,3.746428,3.746428,22733200,-0.0464290000000002
3.657857,3.815714,3.578571,3.723572,3.723572,23143400,0.0657149999999999
3.75,3.817857,3.621428,3.713571,3.713571,21513800,-0.036429
3.688571,3.844286,3.681429,3.839286,3.839286,15517600,0.1507149999999999
3.903571,4.034286,3.871428,4.034286,4.034286,21884800,0.1307149999999999
4.107143,4.235714,4.064286,4.218572,4.218572,27333600,0.1114290000000002
4.31,4.357143,4.128572,4.165,4.165,26913600,-0.1449999999999995
4.202857,4.210714,4.037143,4.092857,4.092857,16017400,-0.1099999999999994
4.099286,4.214286,4.085714,4.175,4.175,14712600,0.0757139999999996
4.146429,4.325,4.131429,4.257143,4.257143,15635200,0.1107139999999997
4.232143,4.285,4.139286,4.194286,4.194286,17277400,-0.0378569999999998
